Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
2016-01-20 02:13:00,-50026.8,19520.4,-136403.8,
2016-01-20 02:14:00,-49932.8,19439.8,-136417.22,
2016-01-20 02:15:00,-50013.2,19507,-136376.94,
2016-01-20 02:16:00,-50228.2,19775.4,-136699.22,
2016-01-20 02:17:00,-39217,14901,-2524.4,
2016-01-20 02:18:00,-6371.6,4520.99999999999,31059.6,
2016-01-20 02:19:00,-6398.40000000001,4534.4,31059.6,
2016-01-20 02:20:00,-6008.99999999998,4158.39999999998,31543,
2016-01-20 02:21:00,-6089.60000000001,4118.2,31449,
2016-01-20 02:22:00,-6008.99999999998,3795.80000000001,31610.2,
2016-01-20 02:23:00,-6156.60000000001,3916.80000000001,31435.6,
2016-01-20 02:24:00,-6076.20000000001,3742.19999999998,31516.2,
2016-01-20 02:25:00,-6156.60000000001,3795.80000000001,31475.8,
2016-01-20 02:26:00,-6143.2,3822.80000000001,31462.4,
2016-01-20 02:27:00,-6156.60000000001,3822.80000000001,31462.4,
2016-01-20 02:28:00,-6183.60000000001,3836.20000000002,31516.2,
2016-01-20 02:29:00,-6156.60000000001,3809.4,31489.4,
2016-01-20 02:30:00,-6197.00000000002,3473.60000000001,31489.4,
2016-01-20 02:31:00,-6358.19999999999,3554.19999999999,31368.4,
2016-01-20 02:32:00,-49946.2,19601,-136390.36,
2016-01-20 02:33:00,-50241.6,19856,-136752.94,
2016-01-20 02:34:00,-50281.8,19896.4,-136699.22,
2016-01-20 02:35:00,-49865.6,19413,-136323.24,
2016-01-20 02:36:00,-49919.2,19466.6,-136282.94,
2016-01-20 02:37:00,-49811.8,19372.6,-136309.8,
2016-01-20 02:38:00,-49919.2,19453.2,-136269.52,
2016-01-20 02:39:00,-49919.2,19439.8,-136282.94,
2016-01-20 02:40:00,-49811.8,19372.6,-136269.52,
2016-01-20 02:41:00,-49905.8,19426.4,-136256.1,
2016-01-20 02:42:00,-49905.8,19480,-136269.52,
2016-01-20 02:43:00,-49811.8,19372.6,-136309.8,
2016-01-20 02:44:00,-49892.4,19426.4,-136256.1,
2016-01-20 02:45:00,-50161,19735.2,-136591.8,
2016-01-20 02:46:00,-49986.4,19426.4,-136282.94,
2016-01-20 02:47:00,-49946.2,19547.2,-136390.36,
2016-01-20 02:48:00,-50201.2,19815.8,-136739.5,
2016-01-20 02:49:00,-50255,19842.6,-136699.22,
2016-01-20 02:50:00,-49905.8,19426.4,-136282.94,
2016-01-20 02:51:00,-49865.6,19399.4,-136282.94,
2016-01-20 02:52:00,-49838.8,19426.4,-136269.52,
2016-01-20 02:53:00,-49865.6,19399.4,-136256.1,
2016-01-20 02:54:00,-49865.6,19399.4,-136242.66,
2016-01-20 02:55:00,-49838.8,19386,-136256.1,
2016-01-20 02:56:00,-49825.4,19386,-136269.52,
2016-01-20 02:57:00,-49771.6,19319,-136269.52,
2016-01-20 02:58:00,-49879,19466.6,-136296.38,
2016-01-20 02:59:00,-49811.8,19386,-136242.66,
2016-01-20 03:00:00,-50040.2,19587.4,-136511.22,
2016-01-20 03:01:00,-49959.6,19520.4,-136403.8,
2016-01-20 03:02:00,-49785,19413,-136350.08,
2016-01-20 03:03:00,-50161,19735.2,-136591.8,
2016-01-20 03:04:00,-50053.6,19668,-136645.52,
2016-01-20 03:05:00,-49798.4,19319,-136242.66,
2016-01-20 03:06:00,-49785,19265.2,-136256.1,
2016-01-20 03:07:00,-49825.4,19345.8,-136215.8,
2016-01-20 03:08:00,-49744.8,19292,-136269.52,
2016-01-20 03:09:00,-49758.2,19278.6,-136229.24,
2016-01-20 03:10:00,-49825.4,19359.2,-136269.52,
2016-01-20 03:11:00,-49865.6,19386,-136269.52,
2016-01-20 03:12:00,-49731.2,19224.8,-136229.24,
2016-01-20 03:13:00,-49704.4,19251.8,-136242.66,
2016-01-20 03:14:00,-49717.8,19251.8,-136256.1,
2016-01-20 03:15:00,-50053.6,19574,-136444.08,
2016-01-20 03:16:00,-49865.6,19413,-136403.8,
2016-01-20 03:17:00,-49731.2,19345.8,-136350.08,
2016-01-20 03:18:00,-50147.6,19721.8,-136605.22,
2016-01-20 03:19:00,-50013.2,19601,-136591.8,
2016-01-20 03:20:00,-49798.4,19319,-136188.96,
2016-01-20 03:21:00,-49731.2,19265.2,-136215.8,
2016-01-20 03:22:00,-49704.4,19238.4,-136229.24,
2016-01-20 03:23:00,-49785,19319,-136269.52,
2016-01-20 03:24:00,-49785,19278.6,-136162.1,
2016-01-20 03:25:00,-49785,19305.4,-136202.38,
2016-01-20 03:26:00,-49744.8,19238.4,-136229.24,
2016-01-20 03:27:00,-49717.8,19238.4,-136202.38,
2016-01-20 03:28:00,-49798.4,19319,-136175.52,
2016-01-20 03:29:00,-49798.4,19305.4,-136188.96,
2016-01-20 03:30:00,-49999.8,19533.8,-136444.08,
2016-01-20 03:31:00,-49717.8,19399.4,-136336.66,
2016-01-20 03:32:00,-50013.2,19601,-136591.8,
2016-01-20 03:33:00,-50080.4,19654.6,-136538.08,
2016-01-20 03:34:00,-49771.6,19319,-136296.38,
2016-01-20 03:35:00,-49758.2,19292,-136148.66,
2016-01-20 03:36:00,-49744.8,19251.8,-136148.66,
2016-01-20 03:37:00,-49677.6,19198,-136188.96,
2016-01-20 03:38:00,-49664.2,19198,-136175.52,
2016-01-20 03:39:00,-49691,19238.4,-136175.52,
2016-01-20 03:40:00,-49677.6,19211.4,-136202.38,
2016-01-20 03:41:00,-49731.2,19251.8,-136148.66,
2016-01-20 03:42:00,-49731.2,19251.8,-136175.52,
2016-01-20 03:43:00,-49785,19332.4,-136229.24,
2016-01-20 03:44:00,-49717.8,19224.8,-136175.52,
2016-01-20 03:46:00,-49932.8,19480,-136524.66,
2016-01-20 03:47:00,17544.2,4708.99999999998,50960.2,
2016-01-20 03:48:00,20914.6,4279.19999999999,51000.6,
2016-01-20 03:49:00,20981.8,4145.00000000002,51040.8,
2016-01-20 03:50:00,21357.8,3728.80000000002,51470.6,
2016-01-20 03:51:00,21263.8,3795.80000000001,51390,
2016-01-20 03:52:00,21304,3755.59999999999,51524.2,
2016-01-20 03:53:00,21290.6,3742.19999999998,51510.8,
2016-01-20 03:54:00,21357.8,3715.40000000001,51497.4,
2016-01-20 03:55:00,21357.8,3701.80000000002,51524.2,
2016-01-20 03:56:00,21290.6,3755.59999999999,51524.2,
2016-01-20 03:57:00,21317.4,3728.80000000002,51537.6,
2016-01-20 03:58:00,21236.8,3795.80000000001,51470.6,
